Activity,Year,Locality,Frequency,Percentage
Concerts on radio,2017,Local,Participated in the last 12 months,2.71
Concerts on radio,2017,Local,Weekly Participation (multiple),0.34
Concerts on radio,2017,Local,Weekly Participation (once),0.27
Concerts on radio,2017,Local,Monthly Participation (multiple),0.19
Concerts on radio,2017,Local,Monthly Participation (once),0.25
Concerts on radio,2018,Local,Participated in the last 12 months,2.19
Concerts on radio,2018,Local,Weekly Participation (multiple),0.28
Concerts on radio,2018,Local,Weekly Participation (once),0.24
Concerts on radio,2018,Local,Monthly Participation (multiple),0.18
Concerts on radio,2018,Local,Monthly Participation (once),0.13
Cooking for fun ,2010,Local,Participated in the last 12 months,22.03
Cooking for fun ,2010,Local,Weekly Participation (multiple),8.40
Cooking for fun ,2010,Local,Weekly Participation (once),3.29
Cooking for fun ,2010,Local,Monthly Participation (multiple),2.98
Cooking for fun ,2010,Local,Monthly Participation (once),1.94
Cooking for fun ,2011,Local,Participated in the last 12 months,21.70
Cooking for fun ,2011,Local,Weekly Participation (multiple),7.88
Cooking for fun ,2011,Local,Weekly Participation (once),3.33
Cooking for fun ,2011,Local,Monthly Participation (multiple),3.24
Cooking for fun ,2011,Local,Monthly Participation (once),1.92
Cooking for fun ,2012,Local,Participated in the last 12 months,22.23
Cooking for fun ,2012,Local,Weekly Participation (multiple),8.03
Cooking for fun ,2012,Local,Weekly Participation (once),3.48
Cooking for fun ,2012,Local,Monthly Participation (multiple),2.91
Cooking for fun ,2012,Local,Monthly Participation (once),2.05
Cooking for fun ,2013,Local,Participated in the last 12 months,23.01
Cooking for fun ,2013,Local,Weekly Participation (multiple),8.95
Cooking for fun ,2013,Local,Weekly Participation (once),3.72
Cooking for fun ,2013,Local,Monthly Participation (multiple),2.87
Cooking for fun ,2013,Local,Monthly Participation (once),1.80
Cooking for fun ,2014,Local,Participated in the last 12 months,22.89
Cooking for fun ,2014,Local,Weekly Participation (multiple),8.68
Cooking for fun ,2014,Local,Weekly Participation (once),3.44
Cooking for fun ,2014,Local,Monthly Participation (multiple),3.25
Cooking for fun ,2014,Local,Monthly Participation (once),1.52
Cooking for fun ,2015,Local,Participated in the last 12 months,24.45
Cooking for fun ,2015,Local,Weekly Participation (multiple),9.18
Cooking for fun ,2015,Local,Weekly Participation (once),3.88
Cooking for fun ,2015,Local,Monthly Participation (multiple),3.02
Cooking for fun ,2015,Local,Monthly Participation (once),1.82
Cooking for fun ,2016,Local,Participated in the last 12 months,20.18
Cooking for fun ,2016,Local,Weekly Participation (multiple),7.17
Cooking for fun ,2016,Local,Weekly Participation (once),3.24
Cooking for fun ,2016,Local,Monthly Participation (multiple),2.40
Cooking for fun ,2016,Local,Monthly Participation (once),1.48
Cooking for fun ,2017,Local,Participated in the last 12 months,20.17
Cooking for fun ,2017,Local,Weekly Participation (multiple),6.78
Cooking for fun ,2017,Local,Weekly Participation (once),3.21
Cooking for fun ,2017,Local,Monthly Participation (multiple),2.54
Cooking for fun ,2017,Local,Monthly Participation (once),1.52
Cooking for fun ,2018,Local,Participated in the last 12 months,18.68
Cooking for fun ,2018,Local,Weekly Participation (multiple),6.88
Cooking for fun ,2018,Local,Weekly Participation (once),2.86
Cooking for fun ,2018,Local,Monthly Participation (multiple),2.50
Cooking for fun ,2018,Local,Monthly Participation (once),1.59
Crossword puzzles ,2010,Local,Participated in the last 12 months,13.15
Crossword puzzles ,2010,Local,Weekly Participation (multiple),5.64
Crossword puzzles ,2010,Local,Weekly Participation (once),1.37
Crossword puzzles ,2010,Local,Monthly Participation (multiple),1.23
Crossword puzzles ,2010,Local,Monthly Participation (once),1.17
Crossword puzzles ,2011,Local,Participated in the last 12 months,11.47
Crossword puzzles ,2011,Local,Weekly Participation (multiple),4.91
Crossword puzzles ,2011,Local,Weekly Participation (once),1.02
Crossword puzzles ,2011,Local,Monthly Participation (multiple),1.30
Crossword puzzles ,2011,Local,Monthly Participation (once),0.70
Crossword puzzles ,2012,Local,Participated in the last 12 months,11.76
Crossword puzzles ,2012,Local,Weekly Participation (multiple),4.62
Crossword puzzles ,2012,Local,Weekly Participation (once),1.47
Crossword puzzles ,2012,Local,Monthly Participation (multiple),1.13
Crossword puzzles ,2012,Local,Monthly Participation (once),0.75
Crossword puzzles ,2013,Local,Participated in the last 12 months,10.34
Crossword puzzles ,2013,Local,Weekly Participation (multiple),4.28
Crossword puzzles ,2013,Local,Weekly Participation (once),1.32
Crossword puzzles ,2013,Local,Monthly Participation (multiple),1.02
Crossword puzzles ,2013,Local,Monthly Participation (once),0.69
Crossword puzzles ,2014,Local,Participated in the last 12 months,10.28
Crossword puzzles ,2014,Local,Weekly Participation (multiple),4.19
Crossword puzzles ,2014,Local,Weekly Participation (once),1.23
Crossword puzzles ,2014,Local,Monthly Participation (multiple),0.99
Crossword puzzles ,2014,Local,Monthly Participation (once),0.69
Crossword puzzles ,2015,Local,Participated in the last 12 months,9.58
Crossword puzzles ,2015,Local,Weekly Participation (multiple),3.58
Crossword puzzles ,2015,Local,Weekly Participation (once),1.16
Crossword puzzles ,2015,Local,Monthly Participation (multiple),0.97
Crossword puzzles ,2015,Local,Monthly Participation (once),0.60
Crossword puzzles ,2016,Local,Participated in the last 12 months,9.68
Crossword puzzles ,2016,Local,Weekly Participation (multiple),3.66
Crossword puzzles ,2016,Local,Weekly Participation (once),1.07
Crossword puzzles ,2016,Local,Monthly Participation (multiple),0.98
Crossword puzzles ,2016,Local,Monthly Participation (once),0.59
Crossword puzzles ,2017,Local,Participated in the last 12 months,9.73
Crossword puzzles ,2017,Local,Weekly Participation (multiple),3.83
Crossword puzzles ,2017,Local,Weekly Participation (once),0.98
Crossword puzzles ,2017,Local,Monthly Participation (multiple),0.97
Crossword puzzles ,2017,Local,Monthly Participation (once),0.58
Crossword puzzles ,2018,Local,Participated in the last 12 months,9.01
Crossword puzzles ,2018,Local,Weekly Participation (multiple),3.58
Crossword puzzles ,2018,Local,Weekly Participation (once),0.81
Crossword puzzles ,2018,Local,Monthly Participation (multiple),0.91
Crossword puzzles ,2018,Local,Monthly Participation (once),0.62
Dance/go dancing ,2010,Remote,Participated in the last 12 months,9.20
Dance/go dancing ,2010,Remote,Weekly Participation (multiple),0.72
Dance/go dancing ,2010,Remote,Weekly Participation (once),0.95
Dance/go dancing ,2010,Remote,Monthly Participation (multiple),1.20
Dance/go dancing ,2010,Remote,Monthly Participation (once),1.30
Dance/go dancing ,2011,Remote,Participated in the last 12 months,9.04
Dance/go dancing ,2011,Remote,Weekly Participation (multiple),0.75
Dance/go dancing ,2011,Remote,Weekly Participation (once),0.86
Dance/go dancing ,2011,Remote,Monthly Participation (multiple),1.17
Dance/go dancing ,2011,Remote,Monthly Participation (once),1.25
Dance/go dancing ,2012,Remote,Participated in the last 12 months,8.24
Dance/go dancing ,2012,Remote,Weekly Participation (multiple),0.70
Dance/go dancing ,2012,Remote,Weekly Participation (once),0.63
Dance/go dancing ,2012,Remote,Monthly Participation (multiple),0.96
Dance/go dancing ,2012,Remote,Monthly Participation (once),0.92
Dance/go dancing ,2013,Remote,Participated in the last 12 months,7.87
Dance/go dancing ,2013,Remote,Weekly Participation (multiple),0.84
Dance/go dancing ,2013,Remote,Weekly Participation (once),0.73
Dance/go dancing ,2013,Remote,Monthly Participation (multiple),0.87
Dance/go dancing ,2013,Remote,Monthly Participation (once),0.97
Dance/go dancing ,2014,Remote,Participated in the last 12 months,7.71
Dance/go dancing ,2014,Remote,Weekly Participation (multiple),0.95
Dance/go dancing ,2014,Remote,Weekly Participation (once),0.46
Dance/go dancing ,2014,Remote,Monthly Participation (multiple),0.78
Dance/go dancing ,2014,Remote,Monthly Participation (once),1.14
Dance/go dancing ,2015,Remote,Participated in the last 12 months,7.76
Dance/go dancing ,2015,Remote,Weekly Participation (multiple),0.67
Dance/go dancing ,2015,Remote,Weekly Participation (once),0.77
Dance/go dancing ,2015,Remote,Monthly Participation (multiple),0.81
Dance/go dancing ,2015,Remote,Monthly Participation (once),0.83
Dance/go dancing ,2016,Remote,Participated in the last 12 months,7.51
Dance/go dancing ,2016,Remote,Weekly Participation (multiple),0.65
Dance/go dancing ,2016,Remote,Weekly Participation (once),0.68
Dance/go dancing ,2016,Remote,Monthly Participation (multiple),0.70
Dance/go dancing ,2016,Remote,Monthly Participation (once),0.70
Dance/go dancing ,2017,Remote,Participated in the last 12 months,7.20
Dance/go dancing ,2017,Remote,Weekly Participation (multiple),0.67
Dance/go dancing ,2017,Remote,Weekly Participation (once),0.48
Dance/go dancing ,2017,Remote,Monthly Participation (multiple),0.78
Dance/go dancing ,2017,Remote,Monthly Participation (once),0.80
Dance/go dancing ,2018,Remote,Participated in the last 12 months,7.33
Dance/go dancing ,2018,Remote,Weekly Participation (multiple),0.83
Dance/go dancing ,2018,Remote,Weekly Participation (once),0.57
Dance/go dancing ,2018,Remote,Monthly Participation (multiple),0.68
Dance/go dancing ,2018,Remote,Monthly Participation (once),0.75
Dining out ,2010,Remote,Participated in the last 12 months,49.31
Dining out ,2010,Remote,Weekly Participation (multiple),8.84
Dining out ,2010,Remote,Weekly Participation (once),11.04
Dining out ,2010,Remote,Monthly Participation (multiple),11.68
Dining out ,2010,Remote,Monthly Participation (once),6.88
Dining out ,2011,Remote,Participated in the last 12 months,46.76
Dining out ,2011,Remote,Weekly Participation (multiple),7.63
Dining out ,2011,Remote,Weekly Participation (once),10.56
Dining out ,2011,Remote,Monthly Participation (multiple),12.08
Dining out ,2011,Remote,Monthly Participation (once),5.88
Dining out ,2012,Remote,Participated in the last 12 months,45.17
Dining out ,2012,Remote,Weekly Participation (multiple),8.05
Dining out ,2012,Remote,Weekly Participation (once),10.10
Dining out ,2012,Remote,Monthly Participation (multiple),10.65
Dining out ,2012,Remote,Monthly Participation (once),6.02
Dining out ,2013,Remote,Participated in the last 12 months,44.76
Dining out ,2013,Remote,Weekly Participation (multiple),7.19
Dining out ,2013,Remote,Weekly Participation (once),9.72
Dining out ,2013,Remote,Monthly Participation (multiple),10.97
Dining out ,2013,Remote,Monthly Participation (once),5.99
Dining out ,2014,Remote,Participated in the last 12 months,45.33
Dining out ,2014,Remote,Weekly Participation (multiple),8.36
Dining out ,2014,Remote,Weekly Participation (once),9.82
Dining out ,2014,Remote,Monthly Participation (multiple),11.14
Dining out ,2014,Remote,Monthly Participation (once),5.84
Dining out ,2015,Remote,Participated in the last 12 months,46.42
Dining out ,2015,Remote,Weekly Participation (multiple),7.86
Dining out ,2015,Remote,Weekly Participation (once),9.73
Dining out ,2015,Remote,Monthly Participation (multiple),11.90
Dining out ,2015,Remote,Monthly Participation (once),6.10
Dining out ,2016,Remote,Participated in the last 12 months,52.78
Dining out ,2016,Remote,Weekly Participation (multiple),9.47
Dining out ,2016,Remote,Weekly Participation (once),11.46
Dining out ,2016,Remote,Monthly Participation (multiple),12.68
Dining out ,2016,Remote,Monthly Participation (once),6.64
Dining out ,2017,Remote,Participated in the last 12 months,52.12
Dining out ,2017,Remote,Weekly Participation (multiple),8.73
Dining out ,2017,Remote,Weekly Participation (once),11.46
Dining out ,2017,Remote,Monthly Participation (multiple),12.72
Dining out ,2017,Remote,Monthly Participation (once),6.12
Dining out ,2018,Remote,Participated in the last 12 months,50.54
Dining out ,2018,Remote,Weekly Participation (multiple),9.41
Dining out ,2018,Remote,Weekly Participation (once),10.80
Dining out ,2018,Remote,Monthly Participation (multiple),11.93
Dining out ,2018,Remote,Monthly Participation (once),6.57
Entertain friends or relatives at home ,2010,Local,Participated in the last 12 months,38.34
Entertain friends or relatives at home ,2010,Local,Weekly Participation (multiple),3.06
Entertain friends or relatives at home ,2010,Local,Weekly Participation (once),4.01
Entertain friends or relatives at home ,2010,Local,Monthly Participation (multiple),8.14
Entertain friends or relatives at home ,2010,Local,Monthly Participation (once),8.60
Entertain friends or relatives at home ,2011,Local,Participated in the last 12 months,37.08
Entertain friends or relatives at home ,2011,Local,Weekly Participation (multiple),3.23
Entertain friends or relatives at home ,2011,Local,Weekly Participation (once),4.06
Entertain friends or relatives at home ,2011,Local,Monthly Participation (multiple),7.82
Entertain friends or relatives at home ,2011,Local,Monthly Participation (once),8.08
Entertain friends or relatives at home ,2012,Local,Participated in the last 12 months,35.08
Entertain friends or relatives at home ,2012,Local,Weekly Participation (multiple),2.87
Entertain friends or relatives at home ,2012,Local,Weekly Participation (once),4.09
Entertain friends or relatives at home ,2012,Local,Monthly Participation (multiple),6.97
Entertain friends or relatives at home ,2012,Local,Monthly Participation (once),7.73
Entertain friends or relatives at home ,2013,Local,Participated in the last 12 months,35.64
Entertain friends or relatives at home ,2013,Local,Weekly Participation (multiple),2.99
Entertain friends or relatives at home ,2013,Local,Weekly Participation (once),4.53
Entertain friends or relatives at home ,2013,Local,Monthly Participation (multiple),7.43
Entertain friends or relatives at home ,2013,Local,Monthly Participation (once),7.21
Entertain friends or relatives at home ,2014,Local,Participated in the last 12 months,36.16
Entertain friends or relatives at home ,2014,Local,Weekly Participation (multiple),2.95
Entertain friends or relatives at home ,2014,Local,Weekly Participation (once),4.16
Entertain friends or relatives at home ,2014,Local,Monthly Participation (multiple),7.44
Entertain friends or relatives at home ,2014,Local,Monthly Participation (once),7.85
Entertain friends or relatives at home ,2015,Local,Participated in the last 12 months,37.36
Entertain friends or relatives at home ,2015,Local,Weekly Participation (multiple),3.29
Entertain friends or relatives at home ,2015,Local,Weekly Participation (once),4.22
Entertain friends or relatives at home ,2015,Local,Monthly Participation (multiple),7.39
Entertain friends or relatives at home ,2015,Local,Monthly Participation (once),7.91
Entertain friends or relatives at home ,2016,Local,Participated in the last 12 months,32.47
Entertain friends or relatives at home ,2016,Local,Weekly Participation (multiple),2.74
Entertain friends or relatives at home ,2016,Local,Weekly Participation (once),3.66
Entertain friends or relatives at home ,2016,Local,Monthly Participation (multiple),6.42
Entertain friends or relatives at home ,2016,Local,Monthly Participation (once),6.50
Entertain friends or relatives at home ,2017,Local,Participated in the last 12 months,32.97
Entertain friends or relatives at home ,2017,Local,Weekly Participation (multiple),2.43
Entertain friends or relatives at home ,2017,Local,Weekly Participation (once),3.43
Entertain friends or relatives at home ,2017,Local,Monthly Participation (multiple),6.63
Entertain friends or relatives at home ,2017,Local,Monthly Participation (once),6.68
Entertain friends or relatives at home ,2018,Local,Participated in the last 12 months,30.47
Entertain friends or relatives at home ,2018,Local,Weekly Participation (multiple),2.42
Entertain friends or relatives at home ,2018,Local,Weekly Participation (once),3.73
Entertain friends or relatives at home ,2018,Local,Monthly Participation (multiple),5.73
Entertain friends or relatives at home ,2018,Local,Monthly Participation (once),6.43
Fantasy sports league,2010,Local,Participated in the last 12 months,3.93
Fantasy sports league,2010,Local,Weekly Participation (multiple),1.25
Fantasy sports league,2010,Local,Weekly Participation (once),0.68
Fantasy sports league,2010,Local,Monthly Participation (multiple),0.16
Fantasy sports league,2010,Local,Monthly Participation (once),0.14
Fantasy sports league,2011,Local,Participated in the last 12 months,4.61
Fantasy sports league,2011,Local,Weekly Participation (multiple),1.36
Fantasy sports league,2011,Local,Weekly Participation (once),0.96
Fantasy sports league,2011,Local,Monthly Participation (multiple),0.28
Fantasy sports league,2011,Local,Monthly Participation (once),0.15
Fantasy sports league,2012,Local,Participated in the last 12 months,3.31
Fantasy sports league,2012,Local,Weekly Participation (multiple),0.92
Fantasy sports league,2012,Local,Weekly Participation (once),0.62
Fantasy sports league,2012,Local,Monthly Participation (multiple),0.18
Fantasy sports league,2012,Local,Monthly Participation (once),0.15
Fantasy sports league,2013,Local,Participated in the last 12 months,4.34
Fantasy sports league,2013,Local,Weekly Participation (multiple),1.26
Fantasy sports league,2013,Local,Weekly Participation (once),0.75
Fantasy sports league,2013,Local,Monthly Participation (multiple),0.25
Fantasy sports league,2013,Local,Monthly Participation (once),0.25
Fantasy sports league,2014,Local,Participated in the last 12 months,4.33
Fantasy sports league,2014,Local,Weekly Participation (multiple),1.25
Fantasy sports league,2014,Local,Weekly Participation (once),0.74
Fantasy sports league,2014,Local,Monthly Participation (multiple),0.24
Fantasy sports league,2014,Local,Monthly Participation (once),0.28
Fantasy sports league,2015,Local,Participated in the last 12 months,4.88
Fantasy sports league,2015,Local,Weekly Participation (multiple),1.38
Fantasy sports league,2015,Local,Weekly Participation (once),1.13
Fantasy sports league,2015,Local,Monthly Participation (multiple),0.32
Fantasy sports league,2015,Local,Monthly Participation (once),0.25
Fantasy sports league,2016,Local,Participated in the last 12 months,4.44
Fantasy sports league,2016,Local,Weekly Participation (multiple),1.08
Fantasy sports league,2016,Local,Weekly Participation (once),0.69
Fantasy sports league,2016,Local,Monthly Participation (multiple),0.42
Fantasy sports league,2016,Local,Monthly Participation (once),0.29
Fantasy sports league,2017,Local,Participated in the last 12 months,4.53
Fantasy sports league,2017,Local,Weekly Participation (multiple),1.21
Fantasy sports league,2017,Local,Weekly Participation (once),0.82
Fantasy sports league,2017,Local,Monthly Participation (multiple),0.25
Fantasy sports league,2017,Local,Monthly Participation (once),0.19
Fantasy sports league,2018,Local,Participated in the last 12 months,4.50
Fantasy sports league,2018,Local,Weekly Participation (multiple),0.94
Fantasy sports league,2018,Local,Weekly Participation (once),0.86
Fantasy sports league,2018,Local,Monthly Participation (multiple),0.15
Fantasy sports league,2018,Local,Monthly Participation (once),0.27
Film/produce videos,2010,Local,Participated in the last 12 months,
Film/produce videos,2010,Local,Weekly Participation (multiple),
Film/produce videos,2010,Local,Weekly Participation (once),
Film/produce videos,2010,Local,Monthly Participation (multiple),
Film/produce videos,2010,Local,Monthly Participation (once),
Film/produce videos,2011,Local,Participated in the last 12 months,
Film/produce videos,2011,Local,Weekly Participation (multiple),
Film/produce videos,2011,Local,Weekly Participation (once),
Film/produce videos,2011,Local,Monthly Participation (multiple),
Film/produce videos,2011,Local,Monthly Participation (once),
Film/produce videos,2012,Local,Participated in the last 12 months,
Film/produce videos,2012,Local,Weekly Participation (multiple),
Film/produce videos,2012,Local,Weekly Participation (once),
Film/produce videos,2012,Local,Monthly Participation (multiple),
Film/produce videos,2012,Local,Monthly Participation (once),
Film/produce videos,2013,Local,Participated in the last 12 months,
Film/produce videos,2013,Local,Weekly Participation (multiple),
Film/produce videos,2013,Local,Weekly Participation (once),
Film/produce videos,2013,Local,Monthly Participation (multiple),
Film/produce videos,2013,Local,Monthly Participation (once),
Film/produce videos,2014,Local,Participated in the last 12 months,
Film/produce videos,2014,Local,Weekly Participation (multiple),
Film/produce videos,2014,Local,Weekly Participation (once),
Film/produce videos,2014,Local,Monthly Participation (multiple),
Film/produce videos,2014,Local,Monthly Participation (once),
Film/produce videos,2015,Local,Participated in the last 12 months,
Film/produce videos,2015,Local,Weekly Participation (multiple),
Film/produce videos,2015,Local,Weekly Participation (once),
Film/produce videos,2015,Local,Monthly Participation (multiple),
Film/produce videos,2015,Local,Monthly Participation (once),
Film/produce videos,2016,Local,Participated in the last 12 months,
Film/produce videos,2016,Local,Weekly Participation (multiple),
Film/produce videos,2016,Local,Weekly Participation (once),
Film/produce videos,2016,Local,Monthly Participation (multiple),
Film/produce videos,2016,Local,Monthly Participation (once),
Film/produce videos,2017,Local,Participated in the last 12 months,
Film/produce videos,2017,Local,Weekly Participation (multiple),
Film/produce videos,2017,Local,Weekly Participation (once),
Film/produce videos,2017,Local,Monthly Participation (multiple),
Film/produce videos,2017,Local,Monthly Participation (once),
Film/produce videos,2018,Local,Participated in the last 12 months,1.46
Film/produce videos,2018,Local,Weekly Participation (multiple),0.20
Film/produce videos,2018,Local,Weekly Participation (once),0.19
Film/produce videos,2018,Local,Monthly Participation (multiple),0.12
Film/produce videos,2018,Local,Monthly Participation (once),0.11
Fly a drone,2010,Local,Participated in the last 12 months,
Fly a drone,2010,Local,Weekly Participation (multiple),
Fly a drone,2010,Local,Weekly Participation (once),
Fly a drone,2010,Local,Monthly Participation (multiple),
Fly a drone,2010,Local,Monthly Participation (once),
Fly a drone,2011,Local,Participated in the last 12 months,
Fly a drone,2011,Local,Weekly Participation (multiple),
Fly a drone,2011,Local,Weekly Participation (once),
Fly a drone,2011,Local,Monthly Participation (multiple),
Fly a drone,2011,Local,Monthly Participation (once),
Fly a drone,2012,Local,Participated in the last 12 months,
Fly a drone,2012,Local,Weekly Participation (multiple),
Fly a drone,2012,Local,Weekly Participation (once),
Fly a drone,2012,Local,Monthly Participation (multiple),
Fly a drone,2012,Local,Monthly Participation (once),
Fly a drone,2013,Local,Participated in the last 12 months,
Fly a drone,2013,Local,Weekly Participation (multiple),
Fly a drone,2013,Local,Weekly Participation (once),
Fly a drone,2013,Local,Monthly Participation (multiple),
Fly a drone,2013,Local,Monthly Participation (once),
Fly a drone,2014,Local,Participated in the last 12 months,
Fly a drone,2014,Local,Weekly Participation (multiple),
Fly a drone,2014,Local,Weekly Participation (once),
Fly a drone,2014,Local,Monthly Participation (multiple),
Fly a drone,2014,Local,Monthly Participation (once),
Fly a drone,2015,Local,Participated in the last 12 months,
Fly a drone,2015,Local,Weekly Participation (multiple),
Fly a drone,2015,Local,Weekly Participation (once),
Fly a drone,2015,Local,Monthly Participation (multiple),
Fly a drone,2015,Local,Monthly Participation (once),
Fly a drone,2016,Local,Participated in the last 12 months,
Fly a drone,2016,Local,Weekly Participation (multiple),
Fly a drone,2016,Local,Weekly Participation (once),
Fly a drone,2016,Local,Monthly Participation (multiple),
Fly a drone,2016,Local,Monthly Participation (once),
Fly a drone,2017,Local,Participated in the last 12 months,
Fly a drone,2017,Local,Weekly Participation (multiple),
Fly a drone,2017,Local,Weekly Participation (once),
Fly a drone,2017,Local,Monthly Participation (multiple),
Fly a drone,2017,Local,Monthly Participation (once),
Fly a drone,2018,Local,Participated in the last 12 months,2.64
Fly a drone,2018,Local,Weekly Participation (multiple),0.12
Fly a drone,2018,Local,Weekly Participation (once),0.10
Fly a drone,2018,Local,Monthly Participation (multiple),0.27
Fly a drone,2018,Local,Monthly Participation (once),0.18
Furniture refinishing ,2010,Local,Participated in the last 12 months,2.76
Furniture refinishing ,2010,Local,Weekly Participation (multiple),0.09
Furniture refinishing ,2010,Local,Weekly Participation (once),0.00
Furniture refinishing ,2010,Local,Monthly Participation (multiple),0.16
Furniture refinishing ,2010,Local,Monthly Participation (once),0.18
Furniture refinishing ,2011,Local,Participated in the last 12 months,2.76
Furniture refinishing ,2011,Local,Weekly Participation (multiple),0.06
Furniture refinishing ,2011,Local,Weekly Participation (once),0.05
Furniture refinishing ,2011,Local,Monthly Participation (multiple),0.14
Furniture refinishing ,2011,Local,Monthly Participation (once),0.21
Furniture refinishing ,2012,Local,Participated in the last 12 months,2.57
Furniture refinishing ,2012,Local,Weekly Participation (multiple),0.06
Furniture refinishing ,2012,Local,Weekly Participation (once),0.09
Furniture refinishing ,2012,Local,Monthly Participation (multiple),0.11
Furniture refinishing ,2012,Local,Monthly Participation (once),0.18
Furniture refinishing ,2013,Local,Participated in the last 12 months,3.27
Furniture refinishing ,2013,Local,Weekly Participation (multiple),0.08
Furniture refinishing ,2013,Local,Weekly Participation (once),0.10
Furniture refinishing ,2013,Local,Monthly Participation (multiple),0.19
Furniture refinishing ,2013,Local,Monthly Participation (once),0.42
Furniture refinishing ,2014,Local,Participated in the last 12 months,3.41
Furniture refinishing ,2014,Local,Weekly Participation (multiple),0.09
Furniture refinishing ,2014,Local,Weekly Participation (once),0.07
Furniture refinishing ,2014,Local,Monthly Participation (multiple),0.16
Furniture refinishing ,2014,Local,Monthly Participation (once),0.34
Furniture refinishing ,2015,Local,Participated in the last 12 months,3.22
Furniture refinishing ,2015,Local,Weekly Participation (multiple),0.10
Furniture refinishing ,2015,Local,Weekly Participation (once),0.07
Furniture refinishing ,2015,Local,Monthly Participation (multiple),0.17
Furniture refinishing ,2015,Local,Monthly Participation (once),0.35
Furniture refinishing ,2016,Local,Participated in the last 12 months,3.44
Furniture refinishing ,2016,Local,Weekly Participation (multiple),0.14
Furniture refinishing ,2016,Local,Weekly Participation (once),0.05
Furniture refinishing ,2016,Local,Monthly Participation (multiple),0.14
Furniture refinishing ,2016,Local,Monthly Participation (once),0.36
Furniture refinishing ,2017,Local,Participated in the last 12 months,4.19
Furniture refinishing ,2017,Local,Weekly Participation (multiple),0.11
Furniture refinishing ,2017,Local,Weekly Participation (once),0.17
Furniture refinishing ,2017,Local,Monthly Participation (multiple),0.19
Furniture refinishing ,2017,Local,Monthly Participation (once),0.40
Furniture refinishing ,2018,Local,Participated in the last 12 months,3.57
Furniture refinishing ,2018,Local,Weekly Participation (multiple),0.11
Furniture refinishing ,2018,Local,Weekly Participation (once),0.09
Furniture refinishing ,2018,Local,Monthly Participation (multiple),0.11
Furniture refinishing ,2018,Local,Monthly Participation (once),0.33
Genealogy,2010,Local,Participated in the last 12 months,
Genealogy,2010,Local,Weekly Participation (multiple),
Genealogy,2010,Local,Weekly Participation (once),
Genealogy,2010,Local,Monthly Participation (multiple),
Genealogy,2010,Local,Monthly Participation (once),
Genealogy,2011,Local,Participated in the last 12 months,
Genealogy,2011,Local,Weekly Participation (multiple),
Genealogy,2011,Local,Weekly Participation (once),
Genealogy,2011,Local,Monthly Participation (multiple),
Genealogy,2011,Local,Monthly Participation (once),
Genealogy,2012,Local,Participated in the last 12 months,
Genealogy,2012,Local,Weekly Participation (multiple),
Genealogy,2012,Local,Weekly Participation (once),
Genealogy,2012,Local,Monthly Participation (multiple),
Genealogy,2012,Local,Monthly Participation (once),
Genealogy,2013,Local,Participated in the last 12 months,
Genealogy,2013,Local,Weekly Participation (multiple),
Genealogy,2013,Local,Weekly Participation (once),
Genealogy,2013,Local,Monthly Participation (multiple),
Genealogy,2013,Local,Monthly Participation (once),
Genealogy,2014,Local,Participated in the last 12 months,
Genealogy,2014,Local,Weekly Participation (multiple),
Genealogy,2014,Local,Weekly Participation (once),
Genealogy,2014,Local,Monthly Participation (multiple),
Genealogy,2014,Local,Monthly Participation (once),
Genealogy,2015,Local,Participated in the last 12 months,
Genealogy,2015,Local,Weekly Participation (multiple),
Genealogy,2015,Local,Weekly Participation (once),
Genealogy,2015,Local,Monthly Participation (multiple),
Genealogy,2015,Local,Monthly Participation (once),
Genealogy,2016,Local,Participated in the last 12 months,
Genealogy,2016,Local,Weekly Participation (multiple),
Genealogy,2016,Local,Weekly Participation (once),
Genealogy,2016,Local,Monthly Participation (multiple),
Genealogy,2016,Local,Monthly Participation (once),
Genealogy,2017,Local,Participated in the last 12 months,
Genealogy,2017,Local,Weekly Participation (multiple),
Genealogy,2017,Local,Weekly Participation (once),
Genealogy,2017,Local,Monthly Participation (multiple),
Genealogy,2017,Local,Monthly Participation (once),
Genealogy,2018,Local,Participated in the last 12 months,3.91
Genealogy,2018,Local,Weekly Participation (multiple),0.43
Genealogy,2018,Local,Weekly Participation (once),0.25
Genealogy,2018,Local,Monthly Participation (multiple),0.29
Genealogy,2018,Local,Monthly Participation (once),0.45
Go to bars/night clubs ,2010,Remote,Participated in the last 12 months,19.08
Go to bars/night clubs ,2010,Remote,Weekly Participation (multiple),1.37
Go to bars/night clubs ,2010,Remote,Weekly Participation (once),2.12
Go to bars/night clubs ,2010,Remote,Monthly Participation (multiple),3.26
Go to bars/night clubs ,2010,Remote,Monthly Participation (once),2.82
Go to bars/night clubs ,2011,Remote,Participated in the last 12 months,18.22
Go to bars/night clubs ,2011,Remote,Weekly Participation (multiple),1.33
Go to bars/night clubs ,2011,Remote,Weekly Participation (once),1.93
Go to bars/night clubs ,2011,Remote,Monthly Participation (multiple),3.08
Go to bars/night clubs ,2011,Remote,Monthly Participation (once),2.80
Go to bars/night clubs ,2012,Remote,Participated in the last 12 months,17.04
Go to bars/night clubs ,2012,Remote,Weekly Participation (multiple),1.16
Go to bars/night clubs ,2012,Remote,Weekly Participation (once),1.74
Go to bars/night clubs ,2012,Remote,Monthly Participation (multiple),2.98
